,house_name,zone,meters,direction,decora,Elevator,floor,year,floorh,totalPrice,unitPrice
1,万科光明城市西苑 ,2室2厅,96.11平米,南北,精装,有电梯,18,2008,低楼层,466,48487
2,江南名府 ,4室2厅,145.07平米,南北,精装,无电梯,5,2003,高楼层,420,28952
3,爱达花园兰花园 ,2室2厅,66.66平米,南北,精装,NA,7,1994,高楼层,155,23253
4,腾达雅苑 ,2室2厅,75.43平米,南,简装,无电梯,6,2002,中楼层,260,34470
5,金马郦城 ,2室1厅,84.65平米,南,精装,无电梯,5,2005,中楼层,370,43710
6,南湖边 ,2室1厅,58.01平米,西,简装,有电梯,22,1999,高楼层,152,26203
7,东升村 ,2室1厅,85.03平米,南北,简装,无电梯,6,1991,低楼层,280,32930
8,江南名府 ,3室2厅,112.16平米,西南北,简装,有电梯,11,2003,高楼层,368,32811
9,中和园 ,3室2厅,120.64平米,西南,精装,有电梯,18,2008,高楼层,370,30670
10,兴隆新寓兴宏园 ,3室2厅,87.13平米,南北,毛坯,无电梯,7,2000,高楼层,360,41318
11,思园 ,3室1厅,86.34平米,南,简装,无电梯,6,2000,高楼层,295,34168
12,万达西地一期 ,3室1厅,117.97平米,南,简装,NA,29,2009,高楼层,440,37298
13,银城西堤国际二区 ,4室2厅,160.81平米,南,精装,有电梯,11,2008,高楼层,760,47261
14,晔园 ,2室1厅,63.79平米,南北,毛坯,有电梯,7,1998,中楼层,180,28218
15,金马郦城 ,2室2厅,96.24平米,南北,精装,无电梯,5,2006,中楼层,398,41355
16,拉德芳斯 ,2室2厅,96.26平米,南北,简装,有电梯,18,2007,低楼层,430,44671
17,虹苑新寓三村 ,3室2厅,64.49平米,南北,简装,无电梯,7,1996,低楼层,226,35045
18,万科光明城市东苑 ,3室2厅,115.48平米,南北,精装,有电梯,18,2007,低楼层,550,47628
19,金马郦城 ,3室2厅,128平米,南北,精装,有电梯,9,2005,高楼层,550,42969
20,安国村 ,2室1厅,51.84平米,南北,精装,NA,6,1988,低楼层,178,34337
21,电站村 ,2室1厅,58.32平米,南北,简装,NA,5,1989,中楼层,168,28807
22,今日家园丹桂居 ,3室1厅,94.99平米,南北,精装,有电梯,10,1999,中楼层,360,37899
23,碧瑶花园一期 ,2室2厅,91.66平米,南北,精装,有电梯,9,2008,低楼层,440,48004
24,湖心花园 ,3室2厅,107.88平米,南北,简装,有电梯,11,2002,中楼层,355,32907
25,融侨中央花园1期 ,3室2厅,113.24平米,南北,精装,有电梯,18,2009,低楼层,482,42565
26,银城西堤国际二区 ,3室2厅,123.08平米,南北,精装,NA,11,2008,中楼层,600,48749
27,银城西堤国际三区 ,3室2厅,129.91平米,南,精装,有电梯,18,2009,低楼层,610,46956
28,金马郦城 ,1室0厅,56.79平米,北,精装,无电梯,3,2005,低楼层,175,30816
